category,item,variety_or_spec,quantity,unit,kcal_per_unit,location,container,date_acquired,review_by,rotation_action,notes
FUEL,Firewood - burning this winter,Beech seasoned 2024,4,m3,0,Wood store,Stacked covered,2024-10-01,2026-11-01,Burn,Measured at 17% moisture
FUEL,Firewood - next winter,Oak split 2026,4,m3,0,Wood store,Stacked open sides,2026-03-01,2027-11-01,Season,Needs 18-24 months
FUEL,Propane,11 kg cylinders,4,cyl,0,Outside store,Upright cylinders,2026-04-01,,None,Indefinite shelf life
FUEL,Petrol,Stabilised E5,40,L,0,Outside store,2x 20 L approved can,2026-05-01,2026-11-01,Rotate into car,Stabiliser added at fill
POWER,LiFePO4 battery,48 V 100 Ah,5.1,kWh,0,Utility room,Rack,2026-01-10,2036-01-10,Health check annually,Keep above 5 C
POWER,MPPT controller,100 A - SPARE,1,pcs,0,Workshop,Sealed box,2026-01-10,,None,Most likely failure point
POWER,Fuses and MC4 connectors,Assorted,1,set,0,Workshop,Spares box,2026-01-10,,None,
SANITATION,Cover material,Coconut coir bricks,10,brick,0,Utility room,Shrink wrap,2026-09-01,,Top up each autumn,1 brick = approx 70 L
SANITATION,Soap,Bar soap,50,bar,0,Bathroom store,Boxed,2026-03-01,,None,Improves with age; barter good
SANITATION,Bleach,5% unscented,10,L,0,Utility room,Original bottles,2026-02-01,2027-02-01,Replace,Loses 20%/yr - date it
SANITATION,Toilet paper,,150,roll,0,Loft,Original packs,2026-03-01,,FIFO,Bidet bottles cut usage 80%
MEDICAL,Prescription - see audit,[per person],90,days,0,Bedroom,Original boxes,rolling,monthly,Use oldest first,CHECK MONTHLY
MEDICAL,ORS sachets,,40,sachet,0,Medical box,Original,2026-01-15,2029-01-15,Replace,Highest-value item in the kit
MEDICAL,FFP3 respirators,Fit-tested,100,pcs,0,Medical box,Sealed,2026-01-15,2031-01-15,Check seal,Fit tested on both adults
MEDICAL,Paracetamol,500 mg,200,tab,0,Medical box,Original,2026-01-15,2029-01-15,FIFO,
MEDICAL,Vitamin C + D + multivitamin,12 months x 4 people,1,set,0,Medical box,Original,2026-01-15,2028-01-15,Replace,
SEED,Seed bank,Open-pollinated - see seed list,1,box,0,Cellar,Jar + silica gel,2026-01-05,2027-01-05,Germination test,Cold and dry; test 10 seeds/variety
SEED,Seed potatoes,Sarpo Mira - blight resistant,10,kg,0,Cellar,Chitting trays,2026-02-01,2026-04-15,Plant,Refresh certified stock every 3-4 yr
ANIMAL,Layer feed,16% protein,400,kg,0,Barn,Metal bins,2026-10-01,2027-04-01,MUST LAST TO MARCH,Audit in November - cull if short
ANIMAL,Oyster shell + grit,,50,kg,0,Barn,Sacks,2026-10-01,,None,Indefinite; buy years of it
ANIMAL,Mangel-wurzel,Winter fodder,300,kg,0,Clamp,Straw clamp,2026-10-15,2027-03-01,Feed out,Grown on 100 m2
TOOL,Hand grain mill,Steel burr,1,pcs,0,Kitchen,-,2026-01-20,,Service annually,TESTED - works
TOOL,Pressure canner,23 L,1,pcs,0,Cellar,-,2026-03-01,,Gasket check annually,Spare gasket + safety plug held
TOOL,Can opener,Manual,3,pcs,0,Kitchen,-,2026-01-10,,None,Classic single point of failure
CASH,Cash reserve,Small denominations,0,EUR,0,Split 2 locations,-,2026-01-01,,Review annually,4-8 weeks of essentials
DOCS,Document pack,Paper + encrypted USB + offsite,1,set,0,Hall cupboard,Waterproof folder,2026-01-05,2027-01-05,Annual review,Offsite copy with relative
